distorted_folder,scene,method,MOSs,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,Subject 9,Subject 10,Subject 11,Subject 12,Subject 13,Subject 14,Subject 15,Subject 16,Subject 17,Subject 18,Subject 19,Subject 20,Subject 21,Subject 22,Subject 23,Subject 24,Subject 25,Subject 26,Subject 27,Subject 28,Subject 29,Subject 30,Subject 31,Subject 32,Subject 33,Subject 34,Subject 35,Subject 36,Subject 37,Subject 38,Subject 39,Subject 40,Subject 41,Subject 42,Subject 43,Subject 44,Subject 45,Subject 46,Subject 47,MOS,MOSss
tensoRF_mic_VM,mic,tensoRF_VM,3.957,8,8,8,6,8,9,8,9.4,8,8,6,8,6,6,8.4,8,7,,10,,6,8,,9,,10,10,10,9,8,6,6,9,9,6,8,,,,,,,,,,,,7.9313,7.3923
tensoRF_mic_CP_SH_32,mic,tensoRF_CP_SH_32,2.6743,2,2,6,6,6,6.2,6,5.2,5.8,4,6,5,3.4,4,5.6,3,9,,6,,6,6,,7,,7,6,4,5,2,3,6,7,8,1,6,,,,,,,,,,,,5.1625,4.1856
dvgo_horns_voxels_64,horns,dvgo_voxels_64,1.7639,4,4,4,4,2,2,4,2,2,4,4,6,4,4,4,4,2,4,4,4,4,2,4,4,4,4,1,4,,1,,4,6,,2,,6,4,3,1,2,4,4,7,4,2,3,3.5349,1.9097
dvgo_horns_voxels_128,horns,dvgo_voxels_128,3.1763,6,6,8,6,4,6,8,6,6,6,8,8,8,6,6,6,4,6,6,6,6,8,6,6,6,6,,7,,8,,7,7,,5,,8,6,5,8,5,5,6,8,8,6,6,6.4048,5.4407
plenoxel_horns_default,horns,plenoxel_default,4.0776,8,8,8,8,,,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,,8,8,8,8,,,,8,,,8,,8,,,,8,,,,,,,,8,7.9286,7.694
plenoxel_horns_SH_1,horns,plenoxel_SH_1,3.7337,6,8,10,8,6,8,10,6,4,8,10,8,10,8,8,6,4,6,6,8,8,10,6,8,8,8,7,10,,6,,5,8,,6,,9,7,6,6,9,8,6,10,8,5,7,7.4187,6.8343
tensoRF_horns_VM_MLP,horns,tensoRF_VM_MLP,4.5658,8,6,10,8,10,8,10,10,8,10,10,10,10,10,10,8,10,8,8,10,10,10,8,10,10,10,10,10,,10,,9,8,,9,,10,10,9,9,10,9,9,6,10,8,9,9.1861,8.9144
tensoRF_horns_VM_SH_16,horns,tensoRF_VM_SH_16,4.156,8,8,8,8,8,,8,8,,8,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,,10,,9,8,,9,,10,10,9,9,10,9,8,8,9,7,8,8.4147,7.89
dvgo_trex_voxels_64,trex,dvgo_voxels_64,1.416,4,4,2,4,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,1,4,,1,,5,5,,2,,,3,2,1,1,3,5,,4,1,0,2.4391,1.04
dvgo_trex_voxels_128,trex,dvgo_voxels_128,2.664,6,6,6,6,4,6,6,4,,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,,8,,3,,5,6,,4,,8,5,5,6,4,4,6,7,6,3,3,5.5366,4.16
plenoxel_trex_default,trex,plenoxel_default,3.4387,8,8,6,8,6,10,6,6,4,6,6,10,6,6,6,6,6,6,6,6,6,8,6,6,6,6,8,8,,6,,6,7,,6,,10,7,7,7,8,4,9,9,7,6,8,6.814,6.0968
plenoxel_trex_SH_1,trex,plenoxel_SH_1,3.2516,8,8,6,8,6,8,6,6,4,6,6,8,6,6,6,6,4,6,6,6,6,8,6,6,6,6,8,8,,6,,4,8,,4,,10,8,7,7,7,4,8,9,6,5,4,6.4419,5.629
tensoRF_trex_VM_MLP,trex,tensoRF_VM_MLP,3.8734,6,6,8,6,6,8,8,8,6,6,8,10,8,8,8,8,10,8,8,8,8,8,8,8,8,8,,7,,8,,,8,,8,,,,,8,,,,8,,,7,7.697,7.1835
tensoRF_trex_VM_SH_16,trex,tensoRF_VM_SH_16,3.2817,6,4,8,6,4,6,10,6,4,6,8,6,8,6,6,6,8,6,6,6,6,8,6,6,6,6,6,6,,8,,7,8,,6,,7,10,9,8,9,,9,8,9,3,4,6.6905,5.7042
