,distorted_filename,reference_filename,FVVHD,DISTS,SSIM,GMSD,MOS,DoMOS,DMOS,Buike MOS,Shihao Score,Xu MOS,Prof MOS,buike MOS2,AvgMOS,pSNR Score,Average_PSNR,Contrique_score,WaDiQaM_score,CompressVQA,PSNR_Score,MS-SSIM_Score,LPIPS_Score,WaDiQa_score,LPIPS_Score_vgg,PLCC,SROCC,KROCC,scene,NeRF-DISTS
0,lego_tensorf.mp4,lego_reference.mp4,9.0069,0.035495633482933,0.99129,0.035686,4.6396,5.0,-12.1555,5.0,5,3,4.5,5.0,4.375,36.6469766162636,32.65736616141668,0.0639851453527809,0.79846926420927,3.74542236328125,36.6469766162636,0.968562951196247,0.02993129581213,79.846926420927,0.08994603600353,0.36357733807833,0.474598349978289,0.324468085106383,lego,8.08215
1,lego_dvgo.mp4,lego_reference.mp4,8.914,0.025290702879429,0.99086,0.03898,4.5862,4.922537956038981,-10.019,4.0,5,4,4.5,4.5,4.375,36.8575698092051,32.769526939352126,0.026202976293862,0.7964639621973041,3.84809470176697,36.8575698092051,0.9689158199350628,0.0266882277186959,79.6463962197304,0.0559827766008679,-0.377060922129788,-0.569366044290056,-0.423758865248227,lego,8.030432
2,lego_tensorf_ss2.mp4,lego_reference.mp4,8.9029,0.037678434252739,0.99005,0.038398,4.3874,4.6348787672785,-2.085,4.0,5,3,5.0,4.0,4.25,36.581299624238895,32.288528829662994,0.06506582710892,0.797675445377827,3.73804831504822,36.581299624238895,0.966980259252274,0.031191315697506,79.76754453778271,0.0937996935844419,-0.602581983893038,-0.6455709943551889,-0.464539007092199,lego,8.055439
3,lego_instantNGP.mp4,lego_reference.mp4,8.5396,0.0321172025799749,0.98252,0.059545,3.6696,4.49291638341265,1.8305,3.0,5,4,4.5,3.5,4.125,36.3524379900885,30.067080139938287,0.035159583780915,0.799606532156467,3.95268058776855,36.3524379900885,0.952093449884554,0.028977975538001,79.9606532156467,0.0610175479762259,-0.258527710951583,-0.373860182370821,-0.23936170212766,lego,8.067153
4,ficus_tensorf.mp4,ficus_reference.mp4,8.816,0.0519627159833909,0.9905,0.044195,4.3486,4.3640969861772,5.3835,4.0,5,3,4.0,4.5,4.0,37.6497156877365,32.17526854071568,0.080464331395924,0.7714530336856841,3.77564883232117,37.6497156877365,0.9750797718688908,0.0226153404125939,77.1453033685684,0.0705917580612,-0.26665451646507,-0.45223621363439,-0.308510638297872,ficus,7.395166
5,ficus_dvgo.mp4,ficus_reference.mp4,8.7374,0.033649460971356,0.99001,0.04611,4.2035,4.32439610242465,6.4785,3.5,5,4,4.0,3.75,4.125,37.8883150657293,31.99593028598107,0.015219781752676,0.7670330813527109,3.87580847740173,37.8883150657293,0.975185742051536,0.018928264500573,76.70330813527109,0.036490453723818,0.3535973050480079,0.47698653929657,0.313829787234043,ficus,7.3451366
6,ficus_tensorf_ss2.mp4,ficus_reference.mp4,8.5984,0.061372340619564,0.98629,0.0517,3.8333,4.22398368456832,9.248,3.0,5,3,3.0,3.5,3.5,37.4171421349212,31.114626257534265,0.076066819280386,0.7688205799460409,3.64848589897156,37.4171421349212,0.970008223530736,0.0248974671447649,76.8820579946041,0.071739579662681,0.282788719205223,0.3702778983934,0.2482269503546099,ficus,6.989028
7,lego_plenoxels.mp4,lego_reference.mp4,8.7249,0.027492887973785,0.98667,0.04633,3.3362,4.21528212100612,9.488,3.0,4,2,4.0,3.0,3.25,36.7291330331254,31.98941735737346,0.028027007728815,0.7885727968811991,3.87326765060425,36.7291330331254,0.963275109407369,0.025346689922735,78.8572796881199,0.046798823941499,,,,lego,7.9977922
8,ship_tensorf_ss2.mp4,ship_reference.mp4,7.1315,0.08487053334713,0.91831,0.090586,3.7273,4.13399501472921,11.73,3.0,4,2,4.0,4.0,3.25,34.6927278750034,29.17972763691106,0.0779751322790979,0.75014767318964,2.91742205619812,34.6927278750034,0.885315030073473,0.107933882810175,75.014767318964,0.191324802413583,,,,ship,5.7461314
9,ship_tensorf.mp4,ship_reference.mp4,7.2429,0.0861218109726909,0.92998,0.090709,3.8103,4.09300702469975,12.8605,3.0,5,2,3.0,4.0,3.25,34.946227898688,29.61218209111548,0.074181068092585,0.750344219505787,3.10961413383484,34.946227898688,0.896032338363942,0.105286056306213,75.0344219505787,0.192341891527176,,,,ship,5.805111
